npi,nppes_provider_last_org_name,nppes_provider_first_name,nppes_provider_city,nppes_provider_state,specialty_description,description_flag,drug_name,generic_name,bene_count,total_claim_count,total_30_day_fill_count,total_day_supply,total_drug_cost,bene_count_ge65,bene_count_ge65_suppress_flag,total_claim_count_ge65,ge65_suppress_flag,total_30_day_fill_count_ge65,total_day_supply_ge65,total_drug_cost_ge65,year_exp
1437118403,QUINN,RACHEL,FORT ATKINSON,WI,Family Practice,S,METHENAMINE HIPPURATE,METHENAMINE HIPPURATE,"","",13,366,1159.13,"",*,"",*,"","","",= 2.0
1437118403,QUINN,RACHEL,FORT ATKINSON,WI,Family Practice,S,METHENAMINE HIPPURATE,METHENAMINE HIPPURATE,"",99,13,366,1159.13,"",*,"",*,"","","",= 2.0
1841297421,SIFUENTES,JORGE,BORGER,TX,General Practice,S,NYSTATIN,NYSTATIN,19,40,40,450,623.64,"",#,29,"",29,333,436.93,= 9.0
1770522567,VAN DE BEEK,M.,PHILADELPHIA,PA,Family Practice,S,CLONAZEPAM,CLONAZEPAM,"",24,32,960,118.55,"",#,"",#,"","","",= 10.0
1497789556,GRAHAM,BOB,NASHVILLE,TN,Internal Medicine,S,CELECOXIB,CELECOXIB,"",27,41,1230,1221.21,"",*,27,"",41,1230,1221.21,= 12.0
1417913278,JOHNSON,DIANE,MINEOLA,NY,Infectious Disease,S,SULFAMETHOXAZOLE-TRIMETHOPRIM,SULFAMETHOXAZOLE/TRIMETHOPRIM,"",12,12,360,77.57,0,"",0,"",0,0,0.00,= 25.0
1437108628,HOWERTON,SHAWN,ROSEBORO,NC,Family Practice,S,KLOR-CON M20,POTASSIUM CHLORIDE,"",27,31,930,309.60,"",*,27,"",31,930,309.60,= 3.0
1770779761,KONTIR,NATALEE,HOMER CITY,PA,Family Practice,S,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,"",18,26,780,40.76,"",*,18,"",26,780,40.76,= 6.0
1518906262,MATTIACE,WILLIAM,WILLIAMSPORT,PA,Family Practice,S,"",ROSUVASTATIN CALCIUM,13,67,91,2730,22141.56,"",#,"",#,"","","",= 6.0
1437312485,GERRIETTS,JENNIFER,JOHNSTON,IA,Family Practice,S,INSULIN SYRINGE,"SYRING-NEEDL,DISP,INSUL,0.3 ML","",17,17.3,465,515.41,"",*,17,"",17.3,465,515.41,= 19.0
1083631832,MORAYATI,SHAMIL,BURLINGTON,NC,Internal Medicine,S,AMOXICILLIN,AMOXICILLIN,"",11,11,97,53.06,"",*,11,"",11,97,53.06,= 11.0
1932141819,SHOEMAKER,ABIGAIL,WORTINGTON,OH,Family Practice,S,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,"",24,48,1440,643.93,"",*,24,"",48,1440,643.93,= 9.0
1760574123,BRADSHAW,TONDA,YUCAIPA,CA,Internal Medicine,S,LANTUS SOLOSTAR,"INSULIN GLARGINE,HUM.REC.ANLOG",11,80,103.2,3009,40241.11,"",*,65,"",88.2,2571,35212.73,= 9.0
1093078644,ARORA,PUNEET,WORCESTER,MA,Dentist,T,CLINDAMYCIN HCL,CLINDAMYCIN HCL,17,22,22,141,174.73,"",*,"",*,"","","",= 28.0
1881693331,ALUNDAY,ARTHUR,GREENSBURG,IN,Internal Medicine,S,ONDANSETRON HCL,ONDANSETRON HCL,"",14,14,91,148.77,"",*,14,"",14,91,148.77,= 7.0
1376579706,CHAN,TZE,NEWTON,IA,Internal Medicine,S,CHOLESTYRAMINE,CHOLESTYRAMINE (WITH SUGAR),"",16,16,480,402.17,"",*,"",*,"","","",= 28.0
1497790661,JOHNSON,PAUL,GARDEN GROVE,CA,Family Practice,S,QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,14,51,69.1,2043,1467.93,"",*,18,"",26.1,753,244.99,= 9.0
1508831496,REYES-ORTIZ,ARNALDO,HUMACAO,PR,General Practice,S,IBUPROFEN,IBUPROFEN,"",51,51,1168,286.38,"",*,"",*,"","","",= 20.0
1962478495,VERGIS,EMANUEL,PITTSBURGH,PA,Infectious Disease,S,SELENIUM SULFIDE,SELENIUM SULFIDE,"",11,11,330,75.00,0,"",0,"",0,0,0.00,= 10.0
1467653683,HALL,AMI,NEWBURY,OH,Family Practice,S,WARFARIN SODIUM,WARFARIN SODIUM,"",21,39,1158,196.02,"",#,"",#,"","","",= 21.0
1538105903,CICCHETTI,SHARON,MASHPEE,MA,Nurse Practitioner,S,POLYETHYLENE GLYCOL 3350,POLYETHYLENE GLYCOL 3350,"",19,19.1,485,272.80,"",#,"",#,"","","",= 3.0
1942260435,BRABAZON,CHRISTOPHER,EPHRATA,PA,Family Practice,S,ENALAPRIL-HYDROCHLOROTHIAZIDE,ENALAPRIL/HYDROCHLOROTHIAZIDE,"",500,13,390,57.02,"",*,"",*,"","","",= 3.0
1851498570,YONG,JULIAN,HIALEAH,FL,Urology,S,METHENAMINE HIPPURATE,METHENAMINE HIPPURATE,15,37,37,1088,3102.38,"",#,"",#,"","","",= 3.0
1306821947,ANDREESCU,OANA,HIXSON,TN,Internal Medicine,S,MECLIZINE HCL,MECLIZINE HCL,21,45,55.5,1576,773.26,"",#,"",#,"","","",= 13.0
1962495192,NEWELL,SAMUEL,TUPELO,MS,Neurology,S,CARBIDOPA-LEVODOPA ER,CARBIDOPA/LEVODOPA,"",3,17,484,1490.48,"",*,13,"",17,484,1490.48,= 28.0
1720020845,SAVELLA,BERNARD,MINEOLA,NY,Neurology,S,PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE DI-HCL,"",23,45,1350,1099.11,"",#,"",#,"","","",= 20.0
1063790400,SOW,ALBOURY,WORTHINGTON,MN,Family Practice,S,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,"","",26.6,769,612.50,"",#,"",#,"","","",= 17.0
1063790400,SOW,ALBOURY,WORTHINGTON,MN,Family Practice,S,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,"",100,26.6,769,612.50,"",#,"",#,"","","",= 17.0
1013960756,HUANG,GARY,CATHEDRAL CITY,CA,Internal Medicine,S,LACTULOSE,LACTULOSE,17,49,53.7,1458,1392.42,17,"",49,"",53.7,1458,1392.42,= 7.0
1104208354,GRUPE,KRISTY,PHOENIX,AZ,Nurse Practitioner,S,QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,12,47,47,1410,853.43,0,"",0,"",0,0,0.00,= 11.0
1093119596,KREUZE,JEANETTE,BRONX,AZ,Nurse Practitioner,S,MEMANTINE HCL,MEMANTINE HCL,"",19,21,630,1515.17,"",*,19,"",21,630,1515.17,= 11.0
1699852350,MOESSWILDE,JOANNE,BELFAST,AZ,Nurse Practitioner,S,OMEPRAZOLE,OMEPRAZOLE,20,79,186.5,5595,1055.46,"",#,47,"",128.5,3855,753.25,= 11.0
1033436191,BARCO,ROY,MUSCLE SHOALS,AL,Internal Medicine,S,LISINOPRIL,LISINOPRIL,147,661,1250.5,37465,4144.77,116,"",510,"",981.5,29395,3188.62,= 23.0
1871593996,PRUDEN,SAMUEL,LEXINGTON,KY,Dermatology,S,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,20,24,24,112,305.76,"",#,"",#,"","","",= 3.0
1821387937,WESTENDORF,ELIZABETH,PATCHOGUE,NY,Physician Assistant,S,LOVASTATIN,LOVASTATIN,"",21,41,1230,299.07,"",#,"",#,"","","",= 21.0
1982813093,HARTMAN,JILL,LOVELAND,CO,Physician Assistant,S,MELOXICAM,MELOXICAM,"",16,42,1260,330.55,"",#,"",#,"","","",= 6.0
1902853997,WEWER,WILLIAM,STEELTON,PA,Family Practice,S,TOLTERODINE TARTRATE ER,TOLTERODINE TARTRATE,"",17,43,1290,7549.68,"",*,17,"",43,1290,7549.68,= 9.0
1437224763,STEMPEK,MICHAEL,PROVIDENCE,RI,Physician Assistant,S,GLIMEPIRIDE,GLIMEPIRIDE,"",16,46,1380,164.93,"",#,"",#,"","","",= 7.0
1255335188,ROHLFING,AMY,RED BUD,IL,Geriatric Medicine,S,PREDNISOLONE ACETATE,PREDNISOLONE ACETATE,"",11,11,308,664.10,"",*,11,"",11,308,664.10,= 29.0
1457301558,JUODAWLKIS,AMY,KALAMAZOO,MI,Physician Assistant,S,"",ROSUVASTATIN CALCIUM,"","",19,570,4700.93,"",*,"",*,"","","",= 30.0
1922029172,TAL,AVRAHAM,BROOKLYN,NY,Internal Medicine,S,HYDRALAZINE HCL,HYDRALAZINE HCL,"",28,31,915,655.35,"",#,"",#,"","","",= 9.0
1619073848,CHOU,SHINGSAN,SAN JOSE,CA,Psychiatry & Neurology,T,DULOXETINE HCL,DULOXETINE HCL,"",18,30,900,893.07,"",*,"",*,"","","",= 20.0
1467493023,BOUCHARD,DENISE,WESTBROOK,ME,Nurse Practitioner,S,PAROXETINE HCL,PAROXETINE HCL,"",19,27,795,154.56,"",*,"",*,"","","",= 6.0
1164464236,POOLE,MILLIE,OCALA,FL,Internal Medicine,S,CITALOPRAM HBR,CITALOPRAM HYDROBROMIDE,"",34,54,1620,186.75,"",*,15,"",25,750,87.86,= 8.0
1861439002,HAMILTON,MARY,BEDFORD,VA,Emergency Medicine,S,NAPROXEN,NAPROXEN,14,14,14,210,67.47,"",*,"",*,"","","",= 18.0
1053315424,DEVICK,MARGARET,CANTON,SD,Family Practice,S,LANTUS,"INSULIN GLARGINE,HUM.REC.ANLOG","",12,12,360,3044.16,"",*,12,"",12,360,3044.16,= 27.0
